[2226.32055279741,-1052.27846354852]	[957.345281619123,620.260036077771]	[0,40.1048582030511]
[-1791.76848846632,-1638.61304742710]	[255.262202643589,858.570531259210]	[0,164.426821359118]
[1897.43637058034,900.729420093550]	[229.886078857496,576.053456321354]	[0,124.251242003176]
[-173.096421311540,1953.75706879898]	[89.9988149868883,320.941032647761]	[0,4.56357552767116]
[-2575.75543402230,902.751694183376]	[556.555748561992,529.359902481257]	[0,131.992972813278]
[3011.31323850263,1156.11569325580]	[317.833053726229,452.207453762982]	[0,100.891188019977]
[-2230.96805974520,-1561.03052562439]	[269.883663704401,524.637345396311]	[0,189.060430790999]
[1474.93303093245,-978.518808222226]	[88.6658400322831,838.255587537226]	[0,33.8874477053282]
[3636.76114777216,-1755.88428322996]	[584.641303355111,285.108085658642]	[0,131.092869379305]
[-1663.09491511822,-229.880151188465]	[393.411506367576,826.573979042765]	[0,70.7484373753675]
[-1546.77875934014,-727.581095398947]	[133.810985356126,671.462889478031]	[0,28.3964301849623]
[2527.50592582784,-542.852522000824]	[532.349934998910,711.656705981267]	[0,148.590607198339]
[-699.172718294397,600.472101591108]	[974.836148002758,75.9673612941356]	[0,34.8076668331087]
[-102.794515586480,-763.454294134932]	[263.834041526795,758.766265080204]	[0,198.086392451901]
[-1693.99989101042,1124.58107413906]	[195.797981026732,992.358973179927]	[0,120.904627905716]
[-30.4130306768570,915.455472205496]	[498.353582523552,808.990267199045]	[-57.3964266075816,0]
[-2487.29595857135,363.965821099397]	[910.187830728141,193.765936166610]	[-27.0528833862410,0]
[2244.11810347607,-1843.26205340967]	[946.324989805483,763.673323663761]	[0,23.5282202038241]
[3736.82757798380,715.764035908133]	[403.501388804361,934.979086178052]	[-8.20618174700738,0]
[3968.36740988681,1849.72561746654]	[535.067105256157,963.870129971715]	[-153.749648327496,0]
[-2639.86194738856,-782.604217453706]	[580.191833142712,530.964452338282]	[0,160.483237061257]
[783.852976191710,-272.077556573269]	[542.666987436342,712.414805789522]	[-193.330114823907,0]
[2606.44617440494,-1429.96270030484]	[478.474472902863,256.835354179634]	[-52.3633244700558,0]
